asset,forecaster,alpha,n_windows,r_hat_mean,raw_sd,detrended_sd,sigma_tail,bound,med_bound_w,ratio_raw,ratio_detrended,ratio_detrended_w,kupiec_p,n_alpha
SP500,GJR-GARCH-t,0.01,290,0.0067226000626485,0.0071961840905212,0.0027533858766532,0.0074227226914557,0.0046945420289631,0.0035835787574447,1.5328830897932495,0.586507876522605,0.7683341327250678,6.54840857094996e-08,2.5
SP500,GJR-GARCH-t,0.025,290,0.004643965311391,0.0042690125872539,0.0017196046265524,0.0069811901468543,0.0027924760587417,0.0014134507185174,1.5287553044152475,0.6157992370854025,1.2166003412952875,3.992361996552063e-13,6.25
SP500,GJR-GARCH-t,0.05,290,0.0033989987345875,0.002643439760003,0.0011467298488471,0.0065928042662285,0.0018647266414743,0.0010103093634365,1.417601755243345,0.6149586879610823,1.1350284282693082,0.0,12.5
SP500,TimesFM-2.5,0.01,278,-0.0038851665211775,0.0091903066092165,0.0042457047621372,0.0103111405626701,0.0065213378904375,0.0025801419628465,1.409267049740286,0.6510481182646284,1.6455314565145438,2.4528920561373013e-08,2.5
SP500,TimesFM-2.5,0.025,278,-0.0031929157509875,0.0062998567286279,0.0028913542171841,0.0095903886053208,0.0038361554421283,0.0018694985654493,1.6422318708578516,0.7537114334397342,1.546593439877367,9.841349957184775e-12,6.25
SP500,TimesFM-2.5,0.05,278,-0.0026424023068072,0.0045146686799075,0.0021605247865112,0.009163899952943,0.0025919423195364,0.0014848752418316,1.7418090849780157,0.8335543465711271,1.455021085708338,1.9984014443252818e-15,12.5
SP500,Chronos-Small,0.01,47,-0.0280685421826452,0.0092805912059091,0.0082384644859031,0.0098585562793938,0.0062350984567679,0.004335035838134,1.4884434095560115,1.321304634245279,1.9004374573865652,0.0,2.5
SP500,Chronos-Small,0.025,47,-0.0228355077498999,0.0080603928408321,0.0068160651389318,0.009840381856312,0.0039361527425248,0.0027450609748536,2.047784567339187,1.7316566670021227,2.483028683650756,0.0,6.25
SP500,Chronos-Small,0.05,47,-0.0186606905468131,0.0071022587321898,0.0055483351049092,0.0098196427999327,0.0027774144050648,0.0019459602775497,2.55714765475337,1.9976619602719,2.8512067635293152,0.0,12.5
SP500,Moirai-2.0,0.01,278,-0.0053927505644696,0.0105062751016399,0.0036499715809061,0.0106583256329397,0.006740917008769,0.003110937401123,1.558582472974024,0.5414651413387835,1.173270660987448,1.105782132526656e-12,2.5
SP500,Moirai-2.0,0.025,278,-0.0041736083863953,0.0073142996217098,0.002678288731545,0.0100292381732619,0.0040116952693047,0.0018364673563631,1.8232440728174744,0.6676201834266504,1.4583916900374352,1.5214496329463145e-12,6.25
SP500,Moirai-2.0,0.05,278,-0.0031743954715094,0.0053533248272972,0.0020133999007236,0.0096253741211567,0.0027224669250109,0.0014849766344804,1.966350730698293,0.7395498113225102,1.3558461823394343,1.4432899320127037e-15,12.5
STOXX,GJR-GARCH-t,0.01,239,0.0062503319188932,0.0057067687960393,0.0025460883381224,0.007894055790061,0.0049926392546065,0.0017031320165455,1.1430364793077743,0.5099684171599664,1.4949447919408416,7.270680004056729e-06,2.5
STOXX,GJR-GARCH-t,0.025,239,0.0042862081339971,0.0035984934453014,0.0016031958294431,0.0074534541595157,0.0029813816638063,0.00208243825158,1.2069885211232196,0.5377358588153138,0.7698647622452722,4.4876380389524684e-10,6.25
STOXX,GJR-GARCH-t,0.05,239,0.003235154932146,0.0023935839830361,0.00109076374065,0.0074091604816828,0.0020956270477989,0.0014679138930353,1.142180325239743,0.5204951624363457,0.7430706568180409,1.7619239400801234e-13,12.5
STOXX,TimesFM-2.5,0.01,226,-0.0032589129993429,0.010388331418421,0.0053043844007048,0.0115525504777357,0.0073064744587422,0.0042721709675229,1.4217980884051744,0.725984115958696,1.2416133251755934,1.255674731337475e-05,2.5
STOXX,TimesFM-2.5,0.025,226,-0.0022421669201031,0.0068673838991378,0.0036531315847677,0.0101944114655953,0.0040777645862381,0.0021527405129913,1.6841050418443175,0.8958662295259735,1.6969679172764898,5.448735136415195e-07,6.25
STOXX,TimesFM-2.5,0.05,226,-0.0016530010099615,0.0050023925939522,0.0025846988803782,0.0093650505359741,0.0026488362960568,0.0017745974084845,1.8885246330243448,0.975786568700368,1.4564987348795382,2.5566215811068105e-12,12.5
