forecaster,alpha,slope_b,se_ols,ci_lo_ols,ci_hi_ols,contains_minus_half_ols,se_cluster_asset,ci_lo_cluster,ci_hi_cluster,n_assets,n_valid_cells,df_resid,contains_minus_half
GJR-GARCH-t,0.01,-0.952637072686284,0.0246032613646042,-1.001508428985124,-0.903765716387444,False,0.041217556858360996,-1.0345106859906825,-0.8707634593818853,23,115,91.0,False
GJR-GARCH-t,0.025,-0.977470134701227,0.021908824406496722,-1.0209893229824611,-0.9339509464199929,False,0.03413630759051652,-1.0452777162352358,-0.9096625531672181,23,115,91.0,False
GJR-GARCH-t,0.05,-0.9977395739242382,0.020324553395843468,-1.038111802463503,-0.9573673453849734,False,0.028904745065280034,-1.0551552991762048,-0.9403238486722716,23,115,91.0,False
TimesFM-2.5,0.01,-1.0485899337897018,0.019289027709116696,-1.0868834954059423,-1.0102963721734612,False,0.03213739564899969,-1.1123907307520502,-0.9847891368273533,24,120,95.0,False
TimesFM-2.5,0.025,-1.0705110465105636,0.02056545074910309,-1.1113386282478392,-1.029683464773288,False,0.03723900045792469,-1.1444398095393378,-0.9965822834817895,24,120,95.0,False
TimesFM-2.5,0.05,-1.0741643789513933,0.020468536031901626,-1.11479956064909,-1.0335291972536966,False,0.038813658987234156,-1.1512192344056633,-0.9971095234971232,24,120,95.0,False
Chronos-Small,0.01,,,,,,,,,0,0,,
Chronos-Small,0.025,,,,,,,,,0,0,,
Chronos-Small,0.05,,,,,,,,,0,0,,
Moirai-2.0,0.01,-0.9845821047282363,0.01725622578367582,-1.0188400442820598,-0.9503241651744128,False,0.03159158466029322,-1.0472993298775288,-0.9218648795789437,24,120,95.0,False
Moirai-2.0,0.025,-1.0010634105537803,0.01862941748410102,-1.0380474803088835,-0.9640793407986772,False,0.03513562689102954,-1.0708164490981211,-0.9313103720094396,24,120,95.0,False
Moirai-2.0,0.05,-1.0026028696760558,0.019174141449627553,-1.040668353230356,-0.9645373861217557,False,0.037271175352317616,-1.0765955079462113,-0.9286102314059004,24,120,95.0,False
