forecaster,Median,Q1,Q3,Min,Max
Chronos-Small,1.0,0.85,1.36,0.59,3.02
GJR-GARCH-t,0.51,0.41,0.67,0.26,0.9
Moirai-2.0,0.54,0.49,0.63,0.33,0.69
TimesFM-2.5,0.59,0.5,0.71,0.32,0.81
