asset,sigma_tail,bound_250,n_0.0025,n_0.005,n_0.01,n_0.02
TLT,0.0044985176185252,0.0019346764005753094,161,56,23,9
CBU0,0.005503070089453,0.0023667040424456515,228,74,29,12
USDJPY,0.0059586041078092,0.0025626154492041095,262,84,32,13
ASX200,0.006011048014547,0.0025851699876817996,266,85,33,13
DJCI,0.0062739541335394,0.002698237959648128,287,91,34,14
FTSE100,0.0065058641685431,0.0027979754531572325,306,96,36,15
SP500,0.0069811901468543,0.0030023987834187542,348,107,39,16
AUDUSD,0.007195623815228,0.0030946202200944645,367,112,41,17
STOXX,0.0074534541595157,0.003205505254842679,392,119,43,18
GDAXI,0.0080687689245855,0.003470133529277749,453,135,48,20
EURUSD,0.0080827866464687,0.003476162127588795,455,135,48,20
GBPUSD,0.0081863860757409,0.003520717109456735,465,138,49,20
NIFTY,0.0087558427596277,0.003765623209841611,527,154,54,22
FCHI,0.0090529535255246,0.0038934015661540255,561,163,56,23
GOLD,0.0103021543628873,0.0044306450726976,717,203,68,27
NIKKEI,0.0115616952431328,0.0049723355190206065,893,248,80,31
BOVESPA,0.0115956210942124,0.0049869260017126925,898,249,80,31
IBGL,0.0128236354434162,0.005515057840340752,1091,298,94,35
ICLN,0.0133252703494926,0.005730795844899017,1175,319,100,37
HSI,0.0159014735336729,0.006838742934623786,1657,441,132,47
NATGAS,0.0231290125782445,0.009947088929799298,3463,894,248,80
WTI,0.0260156076903208,0.011188526202013636,4371,1121,306,96
ETH,0.0345184464987449,0.014845340062830984,7665,1945,513,151
BTC,0.0553629976445063,0.023809951208560054,19656,4943,1264,342
