alpha,C,eps_0.1,eps_0.2,eps_0.3,eps_0.5
0.005,1.4914,44486,11122,4943,1780
0.01,1.3345,17809,4453,1979,713
0.025,1.1518,5308,1327,590,213
0.05,1.0385,2158,540,240,87
