asset,sigma_tail,bound_250,n_0.0025,n_0.005,n_0.01,n_0.02
USDJPY,0.0054330041273097,0.003436133515878813,473,119,30,8
ASX200,0.005559127921995,0.0035159012075486103,495,124,31,8
FTSE100,0.005753183741188,0.00363863288392055,530,133,34,9
TLT,0.005919300280474,0.00374369420815427,561,141,36,9
DJCI,0.0067925742769832,0.004296001178227671,739,185,47,12
CBU0,0.0072451132363728,0.004582211946554386,840,210,53,14
SP500,0.0074227226914557,0.004694542028963053,882,221,56,14
STOXX,0.007894055790061,0.004992639254606549,998,250,63,16
GDAXI,0.0082685765345147,0.005229506971297662,1094,274,69,18
AUDUSD,0.0094295019961369,0.005963740701779371,1423,356,89,23
EURUSD,0.0098210796855989,0.006211396177700578,1544,386,97,25
FCHI,0.0098363635766546,0.0062210625591497554,1549,388,97,25
GOLD,0.0103841544051874,0.006567515899052636,1726,432,108,27
NIKKEI,0.0106111432692137,0.006711076261816109,1802,451,113,29
NIFTY,0.0111554549763681,0.007055329212156603,1992,498,125,32
BOVESPA,0.0121587425312984,0.007689863976492812,2366,592,148,37
GBPUSD,0.0121917201094891,0.007710720828252593,2379,595,149,38
ICLN,0.0137244831889267,0.008680125317139875,3014,754,189,48
IBGL,0.0176397144993088,0.011156335018582493,4979,1245,312,78
NATGAS,0.0177846400187722,0.011247993965099973,5061,1266,317,80
HSI,0.0229318516317796,0.014503376424294485,8414,2104,526,132
ETH,0.030003702216412,0.01897600744826083,14404,3601,901,226
WTI,0.0303578583559143,0.01919999545789275,14746,3687,922,231
BTC,0.0720407429512691,0.04556256641134618,83038,20760,5190,1298
