forecaster,alpha,asset,slope,se,ci_lo,ci_hi,r2,n_points,contains_half,intercept
GJR-GARCH-t,0.01,ICLN,-0.7928901509602858,0.04446129712629718,-0.8800342933278282,-0.7057460085927434,0.9906549446626622,5,False,0.02977794083305252
GJR-GARCH-t,0.01,TLT,-0.5386930386837999,0.04286705520820826,-0.6227124668918881,-0.45467361047571175,0.9813571241221242,5,True,-2.3716897358100177
GJR-GARCH-t,0.01,IBGL,-0.5882383101441517,0.03772558702579117,-0.6621804607147024,-0.5142961595736011,0.9878112096585262,5,False,-1.948603680148255
GJR-GARCH-t,0.01,DJCI,-0.5258941667530515,0.13970215552870321,-0.7997103915893098,-0.25207794191679317,0.8252834990612218,5,True,-2.018212020211177
GJR-GARCH-t,0.01,GOLD,-0.7618009745326881,0.07188911556506176,-0.9027036410402092,-0.6208983080251671,0.9739795778042779,5,False,-1.034078113540863
GJR-GARCH-t,0.01,WTI,-0.3301900201626971,0.04193112936939083,-0.41237503372670314,-0.24800500659869107,0.9538525473725447,5,False,-2.4751223399463513
GJR-GARCH-t,0.01,NATGAS,-0.6742119313667604,0.047680548841442905,-0.7676658070959885,-0.5807580556375322,0.9852176640367408,5,False,-0.15982523464596365
GJR-GARCH-t,0.01,CBU0,,,,,,0,,
GJR-GARCH-t,0.01,BTC,-0.3150486220392553,0.022872329944491593,-0.35987838873045885,-0.2702188553480518,0.9844341242304327,5,False,-1.4317761318118856
GJR-GARCH-t,0.01,ETH,-0.32581236623246956,0.08887559152140999,-0.5000085256144331,-0.151616206850506,0.8175082350513044,5,True,-1.7719716156230714
GJR-GARCH-t,0.01,EURUSD,-0.6457565463476715,0.047562241028524355,-0.7389785387635792,-0.5525345539317639,0.9839860967387701,5,False,-1.4860174551909893
GJR-GARCH-t,0.01,GBPUSD,-0.6134078387858592,0.025021348243207342,-0.6624496813425457,-0.5643659962291728,0.995033143949603,5,False,-1.7440813820291576
GJR-GARCH-t,0.01,USDJPY,-0.616799028768461,0.031835916149351426,-0.6791974244211898,-0.5544006331157323,0.9920711279914384,5,False,-1.9595878042335029
GJR-GARCH-t,0.01,AUDUSD,-0.9002096928716522,0.12404438255609382,-1.143336682681596,-0.6570827030617084,0.9461074714343608,5,False,-0.3171603736626931
GJR-GARCH-t,0.025,SP500,-0.5330841120485563,0.06610067810852698,-0.6626414411412692,-0.40352678295584343,0.9559082034444845,5,True,-2.4552287362624456
GJR-GARCH-t,0.025,STOXX,-0.7454649589736098,0.1359357783217847,-1.0118990844843077,-0.47903083346291175,0.9092934961910328,5,True,-1.3807735833074393
GJR-GARCH-t,0.025,GDAXI,-1.0037518097032134,0.22264243715213464,-1.4401309865213974,-0.5673726328850295,0.8713842453086811,5,False,0.4738809095784262
GJR-GARCH-t,0.025,FCHI,-0.5750836834013766,0.08468028082368882,-0.7410570338158067,-0.40911033298694655,0.9389261659633884,5,True,-1.9827768530297747
GJR-GARCH-t,0.025,FTSE100,-0.5755408171467715,0.026339628029530132,-0.6271664880846506,-0.5239151462088925,0.9937559265463115,5,False,-2.4461266942462867
GJR-GARCH-t,0.025,NIKKEI,-0.5986091466412111,0.053330781257744125,-0.7031374779063896,-0.49408081537603266,0.9767421074386697,5,True,-1.8369329274920445
GJR-GARCH-t,0.025,HSI,-0.9088548599673545,0.0916950999197401,-1.088577255810045,-0.7291324641246639,0.9703680036794682,5,False,0.1361664662011668
GJR-GARCH-t,0.025,BOVESPA,-0.5583951041272363,0.04090379922388798,-0.6385665506060567,-0.4782236576484158,0.9841572760605956,5,True,-2.1169142606644393
GJR-GARCH-t,0.025,NIFTY,-1.0641205569043806,0.13026014196983282,-1.3194304351652528,-0.8088106786435083,0.9569804608564405,5,False,0.3166258367900543
GJR-GARCH-t,0.025,ASX200,-0.39920364644103856,0.047211425460348115,-0.49173804034332086,-0.30666925253875627,0.9597305407852701,5,False,-3.4351559076885874
GJR-GARCH-t,0.025,ICLN,-0.8202296338138005,0.08331989468237504,-0.9835366273912556,-0.6569226402363455,0.9699733038345475,5,False,-0.3297767519239123
GJR-GARCH-t,0.025,TLT,-0.5721952204646488,0.03100023684792045,-0.6329556846865728,-0.5114347562427247,0.9912711846048449,5,False,-2.6776773728209506
GJR-GARCH-t,0.025,IBGL,-0.6793443668982819,0.039726306335493566,-0.7572079273158493,-0.6014808064807146,0.9898453486124666,5,False,-1.8177013429108806
GJR-GARCH-t,0.025,DJCI,-0.7404955367643962,0.12809972865627328,-0.9915710049306918,-0.48942006859810055,0.9176175862762965,5,True,-1.3256369341792524
GJR-GARCH-t,0.025,GOLD,-0.6450599936392454,0.06990621430855572,-0.7820761736840146,-0.5080438135944761,0.9659658900256239,5,False,-2.178467433759913
GJR-GARCH-t,0.025,WTI,-0.35486734029850237,0.02904185697530418,-0.41178937997009857,-0.29794530062690616,0.980303079893873,5,False,-2.754319728044551
GJR-GARCH-t,0.025,NATGAS,-0.6428916224692657,0.0567509337781945,-0.7541234526745269,-0.5316597922640045,0.977156848223489,5,False,-0.7731917669067041
GJR-GARCH-t,0.025,CBU0,,,,,,0,,
GJR-GARCH-t,0.025,BTC,-0.26213369292107336,0.01623710967580276,-0.29395842788564674,-0.23030895795649994,0.9886205144295309,5,False,-2.3084878370150266
GJR-GARCH-t,0.025,ETH,-0.40876819506982265,0.07749566566679766,-0.5606596997767461,-0.25687669036289923,0.9026691560547307,5,True,-1.6487938872724408
GJR-GARCH-t,0.025,EURUSD,-0.6999658844510289,0.04353527435908427,-0.785295022194834,-0.6146367467072238,0.9885280021927441,5,False,-1.724702390547967
GJR-GARCH-t,0.025,GBPUSD,-0.544300607246237,0.018464493295372048,-0.5804910141051662,-0.5081102003873077,0.9965594993936987,5,False,-2.6962364160634325
GJR-GARCH-t,0.025,USDJPY,-0.6453645758689708,0.023521838512188736,-0.6914673793528607,-0.5992617723850808,0.9960305876927446,5,False,-2.1648995094030754
GJR-GARCH-t,0.025,AUDUSD,-0.9054625247580681,0.128466815763054,-1.157257483653654,-0.6536675658624822,0.9430496037714744,5,False,-0.8283884323952071
GJR-GARCH-t,0.05,SP500,-0.6937645646348075,0.112744995776445,-0.9147447563566398,-0.4727843729129753,0.9265862469504402,5,True,-2.0130601949612004
GJR-GARCH-t,0.05,STOXX,-0.7887561286549863,0.1473351041401801,-1.0775329327697394,-0.4999793245402333,0.9052425846867104,5,True,-1.5391709247693255
GJR-GARCH-t,0.05,GDAXI,-1.0573330793464433,0.21328572910739624,-1.47537310839694,-0.6392930502959466,0.8912072572773272,5,False,0.35455485855378477
GJR-GARCH-t,0.05,FCHI,-0.6541789803815049,0.09676211178737436,-0.8438327194847586,-0.4645252412782512,0.9384071809039051,5,True,-1.9403372857561498
GJR-GARCH-t,0.05,FTSE100,-0.5863225767825875,0.026370283096844954,-0.6380083316524036,-0.5346368219127714,0.9939681563528874,5,False,-2.768848520391249
GJR-GARCH-t,0.05,NIKKEI,-0.6067382434590523,0.04650764009172877,-0.6978932180388406,-0.5155832688792639,0.982678771340668,5,False,-2.1220029811315166
GJR-GARCH-t,0.05,HSI,-0.8855045309490617,0.1313193493998015,-1.1428904557726727,-0.6281186061254507,0.9381059348661921,5,False,-0.375540741383646
GJR-GARCH-t,0.05,BOVESPA,-0.545034550321865,0.037228728193931845,-0.6180028575819714,-0.4720662430617586,0.9861963800987974,5,True,-2.718163121964351
GJR-GARCH-t,0.05,NIFTY,-1.0508200636372047,0.10857714792573264,-1.2636312735716406,-0.8380088537027688,0.9689651563756282,5,False,-0.10517197508629472
GJR-GARCH-t,0.05,ASX200,-0.445494785745498,0.05287737431183529,-0.5491344393966952,-0.34185513209430085,0.959449349966798,5,True,-3.526307827316092
GJR-GARCH-t,0.05,ICLN,-0.9464679933545616,0.17123638225389268,-1.2820913025721912,-0.6108446841369319,0.910582827247714,5,False,0.058696547677111965
GJR-GARCH-t,0.05,TLT,-0.5844427675077946,0.04205894357854485,-0.6668782969217425,-0.5020072380938466,0.9847011619268545,5,False,-3.030226455028535
GJR-GARCH-t,0.05,IBGL,-0.6796068698293531,0.05302025976151126,-0.7835265789619152,-0.575687160696791,0.9820679081027904,5,False,-2.1756362116494454
GJR-GARCH-t,0.05,DJCI,-0.7936035689896063,0.057696061149880934,-0.906687848843373,-0.6805192891358396,0.9843910383986159,5,False,-1.5542651082399468
GJR-GARCH-t,0.05,GOLD,-0.6016788693098658,0.045418650523845146,-0.6906994243366023,-0.5126583142831294,0.9831926664531497,5,False,-2.7798657174474632
GJR-GARCH-t,0.05,WTI,-0.3715398974319538,0.028683040929541034,-0.42775865765385424,-0.3153211372100534,0.9824343484113027,5,False,-3.03323221080775
GJR-GARCH-t,0.05,NATGAS,-0.5975966495497925,0.06496971949682948,-0.7249372997635783,-0.47025599933600676,0.9657552493904954,5,True,-1.3109327578534526
GJR-GARCH-t,0.05,CBU0,,,,,,0,,
GJR-GARCH-t,0.05,BTC,-0.29631804911991655,0.022896473148549885,-0.3411951364910743,-0.2514409617487588,0.9824032678345537,5,False,-2.543956759418364
GJR-GARCH-t,0.05,ETH,-0.44755035229407175,0.08190707572270882,-0.608088220710581,-0.2870124838775625,0.9086942611642324,5,True,-1.740972888112231
GJR-GARCH-t,0.05,EURUSD,-0.6960074579524061,0.039826657244596816,-0.774067706151816,-0.6179472097529963,0.9902726184323687,5,False,-2.2029016287022563
GJR-GARCH-t,0.05,GBPUSD,-0.5796845805685057,0.024266565716975795,-0.6272470493737783,-0.5321221117632331,0.9947702948764238,5,False,-2.9220020864403375
GJR-GARCH-t,0.05,USDJPY,-0.6196894523938189,0.028159279119530204,-0.6748816394680981,-0.5644972653195397,0.9938434967669407,5,False,-2.6577648674885186
GJR-GARCH-t,0.05,AUDUSD,-0.9743037702148148,0.14262404395914904,-1.2538468963747469,-0.6947606440548828,0.9395968571032746,5,False,-0.8137325104700004
Moirai-2.0,0.01,SP500,-0.5104365032125275,0.030445208071122068,-0.5701091110319267,-0.4507638953931283,0.9894399700856635,5,True,-1.7093684633555806
Moirai-2.0,0.01,STOXX,-0.6638514251337855,0.03652948749122798,-0.7354492206165923,-0.5922536296509786,0.9909979918145759,5,False,-0.8777027069324896
Moirai-2.0,0.01,GDAXI,-0.7485710063774774,0.10626484948319136,-0.9568501113645325,-0.5402919013904224,0.9429911685673859,5,False,-0.1706942955271984
Moirai-2.0,0.01,FCHI,-0.6608226052422037,0.052514413522218084,-0.7637508557457512,-0.5578943547386562,0.9814066556973721,5,False,-0.7649608194869231
Moirai-2.0,0.01,FTSE100,-0.629837269527813,0.05153757215684737,-0.7308509109552339,-0.5288236281003922,0.9803086589651652,5,False,-1.22351293748528
Moirai-2.0,0.01,NIKKEI,-0.834916359244855,0.010878101056336282,-0.8562374373152741,-0.8135952811744358,0.9994909969578061,5,False,0.251038523344679
Moirai-2.0,0.01,HSI,-0.823728190848812,0.05218097985534141,-0.9260029113652811,-0.7214534703323429,0.9881045532633096,5,False,0.21661934856803455
Moirai-2.0,0.01,BOVESPA,-0.6686974734565942,0.0834045255225614,-0.8321703434808145,-0.505224603432374,0.9554106442303283,5,False,-0.40731156440034333
Moirai-2.0,0.01,NIFTY,-0.6427379270182126,0.031782603825730615,-0.7050318305166446,-0.5804440235197806,0.9927178739935077,5,False,-0.8118447986083961
Moirai-2.0,0.01,ASX200,-0.6434726233601175,0.041849723288951875,-0.7254980810064631,-0.5614471657137718,0.98746945507364,5,False,-1.028932960238084
Moirai-2.0,0.01,ICLN,-0.49546329152692786,0.07635082819389255,-0.6451109147869573,-0.34581566826689847,0.933497359957594,5,True,-1.2325603640721328
Moirai-2.0,0.01,TLT,-0.8433276779401856,0.06861474099228934,-0.9778125702850727,-0.7088427855952985,0.9805274354112694,5,False,-0.9162691326115091
Moirai-2.0,0.01,IBGL,-0.7074895945200103,0.07805465264428962,-0.860476713702818,-0.5545024753372025,0.9647707920756832,5,False,-0.6568830311307217
Moirai-2.0,0.01,DJCI,-1.048604721539463,0.1951020369317816,-1.431004713925755,-0.666204729153171,0.9059172950693644,5,False,0.983464476835751
Moirai-2.0,0.01,GOLD,-0.5431801216128148,0.04689970350146799,-0.6351035404756921,-0.45125670274993757,0.9781240141150406,5,True,-1.5121585094429748
Moirai-2.0,0.01,WTI,-0.41614626390765486,0.019281881802525304,-0.4539387522406044,-0.3783537755747053,0.9936005901093299,5,False,-1.249968043781938
Moirai-2.0,0.01,NATGAS,-0.5362703654374282,0.028017765754117612,-0.5911851863154988,-0.4813555445593577,0.9918777044866476,5,True,-0.964220950998834
Moirai-2.0,0.01,CBU0,-0.44514919064000985,0.018272686802262024,-0.4809636567724434,-0.4093347245075763,0.9949704966432875,5,False,-3.449273908510232
Moirai-2.0,0.01,BTC,-0.41221777717012614,0.029526485372040234,-0.470089688499325,-0.3543458658409273,0.9848414504083445,5,False,-1.1107445124558288
Moirai-2.0,0.01,ETH,-0.5224879606960261,0.1510696088759595,-0.8185843940929067,-0.22639152729914552,0.7994900414231285,5,True,-0.500278991228627
Moirai-2.0,0.01,EURUSD,-0.7386545833666636,0.13287389638673242,-0.9990874202846591,-0.47822174644866805,0.9115127776555089,5,True,-0.33269583753899656
Moirai-2.0,0.01,GBPUSD,-0.7371960237062013,0.07943403472153764,-0.892886731760415,-0.5815053156519876,0.9663411701181475,5,False,-0.7805435654831019
Moirai-2.0,0.01,USDJPY,-0.650186862005565,0.02197610620657961,-0.693260030170461,-0.6071136938406689,0.9965844513710889,5,False,-1.1417649048920504
Moirai-2.0,0.01,AUDUSD,-0.9507562494747392,0.042995007761659425,-1.0350264646875917,-0.8664860342618868,0.9939023476921593,5,False,0.2647569553101876
Moirai-2.0,0.025,SP500,-0.6255567473958665,0.07117685326441066,-0.7650633797941114,-0.48605011499762163,0.962613289929648,5,True,-1.3967343111219366
Moirai-2.0,0.025,STOXX,-0.7389647749501529,0.038361185157369845,-0.8141526978585978,-0.663776852041708,0.9919802498441864,5,False,-0.8637953789268789
Moirai-2.0,0.025,GDAXI,-0.779493328867183,0.11943846248738389,-1.0135927153424555,-0.5453939423919106,0.9342001660395972,5,False,-0.4093479096260486
Moirai-2.0,0.025,FCHI,-0.743939831488268,0.09031891009261642,-0.9209648952697962,-0.5669147677067399,0.9576540708848342,5,False,-0.6739784842834196
Moirai-2.0,0.025,FTSE100,-0.6946529295460692,0.09165103245240577,-0.8742889531527844,-0.5150169059393539,0.9503690574782783,5,False,-1.144880984446134
Moirai-2.0,0.025,NIKKEI,-0.9853619987121832,0.07131490903309265,-1.1251392204170447,-0.8455847770073216,0.9845289849831961,5,False,0.6291730593024472
Moirai-2.0,0.025,HSI,-0.8410275829599517,0.0742342516466796,-0.9865267161874437,-0.6955284497324598,0.9771610777954466,5,False,-0.18272962956016148
Moirai-2.0,0.025,BOVESPA,-0.7252440355667006,0.05841195100781476,-0.8397314595420176,-0.6107566115913836,0.9809108803805382,5,False,-0.5450235745287131
Moirai-2.0,0.025,NIFTY,-0.6776143114806876,0.03211886910391602,-0.740567294924363,-0.6146613280370122,0.9933048676034707,5,False,-1.1419735555628847
Moirai-2.0,0.025,ASX200,-0.6219583292633059,0.06105609928165701,-0.7416282838553536,-0.5022883746712581,0.9719017575571656,5,False,-1.5328398052081456
Moirai-2.0,0.025,ICLN,-0.7021670003501038,0.12199947056115462,-0.9412859626499669,-0.46304803805024075,0.9169566043374343,5,True,-0.4605058331619043
Moirai-2.0,0.025,TLT,-0.7946915595774372,0.10765512275847998,-1.005695600184058,-0.5836875189708164,0.9478182634564386,5,False,-1.4444434385534333
Moirai-2.0,0.025,IBGL,-0.7638389798229843,0.11926699596642212,-0.9976022919171716,-0.530075667728797,0.9318443947959265,5,False,-0.9574883800907346
Moirai-2.0,0.025,DJCI,-1.0851176868657635,0.08222873391993706,-1.24628600534884,-0.9239493683826868,0.9830645472615949,5,False,0.6996262676437572
Moirai-2.0,0.025,GOLD,-0.5815480798476835,0.028382719924014265,-0.6371782108987515,-0.5259179487966156,0.9929047838731969,5,False,-1.779922616626033
Moirai-2.0,0.025,WTI,-0.4494246525419249,0.006953240141517643,-0.46305300321929943,-0.4357963018645503,0.9992824202463557,5,False,-1.5712618594973544
Moirai-2.0,0.025,NATGAS,-0.6040899561137496,0.07142007569652463,-0.7440733044789378,-0.46410660774856133,0.9597543695466187,5,True,-0.8751074487073578
Moirai-2.0,0.025,CBU0,-0.4870116602877135,0.052020318730721514,-0.5889714849999277,-0.3850518355754993,0.9669042650827064,5,True,-3.8313546376450542
Moirai-2.0,0.025,BTC,-0.3229128679273553,0.019317151626197408,-0.3607744851147022,-0.28505125074000837,0.9893781771154218,5,False,-2.29423938864429
Moirai-2.0,0.025,ETH,-0.688974980215287,0.1960116722004884,-1.0731578577282443,-0.30479210270232976,0.8046240041190801,5,True,-0.05720443542569775
Moirai-2.0,0.025,EURUSD,-0.8365733131660644,0.04808172597603206,-0.9308134960790873,-0.7423331302530416,0.9901872514446274,5,False,-0.4782622564148724
Moirai-2.0,0.025,GBPUSD,-0.782963700140107,0.09493076875898807,-0.9690280069077235,-0.5968993933724904,0.9577614177053869,5,False,-1.1467636232694378
Moirai-2.0,0.025,USDJPY,-0.6000154773385065,0.03910701117295243,-0.6766652192374932,-0.5233657354395197,0.9874163705087926,5,False,-1.9729357107033687
Moirai-2.0,0.025,AUDUSD,-1.079506546191961,0.05730807904258412,-1.1918303811154258,-0.9671827112684962,0.9916161023646444,5,False,0.5011193460381707
Moirai-2.0,0.05,SP500,-0.677876811896219,0.08467354481828336,-0.8438369597400543,-0.5119166640523836,0.9552855011301636,5,False,-1.407352701906368
Moirai-2.0,0.05,STOXX,-0.7789173451166989,0.04523364743366467,-0.8675752940866817,-0.690259396146716,0.9899841008700321,5,False,-0.9247216078501594
Moirai-2.0,0.05,GDAXI,-0.8941191374923478,0.1538084972054154,-1.1955837920149621,-0.5926544829697337,0.9184633330311307,5,False,-0.0022150987566682545
Moirai-2.0,0.05,FCHI,-0.8167703361891892,0.09185559712478925,-0.996807306553776,-0.6367333658246023,0.963443967641483,5,False,-0.5011707249848794
Moirai-2.0,0.05,FTSE100,-0.8123943630304531,0.10388076441003752,-1.0160006612741266,-0.6087880647867796,0.953241490114637,5,False,-0.7017448029597046
Moirai-2.0,0.05,NIKKEI,-0.967953967483616,0.12100933044100541,-1.2051322551479866,-0.7307756798192453,0.9552132153675675,5,False,0.2825985318339672
Moirai-2.0,0.05,HSI,-0.8087816736416309,0.07735337424000381,-0.9603942871520383,-0.6571690601312234,0.9732908649635149,5,False,-0.5870163174230765
Moirai-2.0,0.05,BOVESPA,-0.6615963363526444,0.04929491265270057,-0.7582143651519375,-0.5649783075533512,0.983618043768004,5,False,-1.3419385326723035
Moirai-2.0,0.05,NIFTY,-0.6703496463961376,0.04345360809902214,-0.755518718270221,-0.5851805745220542,0.9875511348007446,5,False,-1.5979810745713712
Moirai-2.0,0.05,ASX200,-0.6837696581004732,0.08707054920182607,-0.8544279345360523,-0.5131113816648941,0.953610957916449,5,False,-1.43437608688423
Moirai-2.0,0.05,ICLN,-0.8684932519967424,0.19179935306293366,-1.2444199840000925,-0.49256651999339246,0.8723621582342838,5,True,0.09458458709291584
Moirai-2.0,0.05,TLT,-0.7107047518432592,0.09890727425463935,-0.9045630093823523,-0.5168464943041661,0.9450874897071837,5,False,-2.0841045700651266
Moirai-2.0,0.05,IBGL,-0.7709508365930493,0.1333592204223605,-1.032334908620876,-0.5095667645652227,0.9176278209300561,5,False,-1.255831279180394
Moirai-2.0,0.05,DJCI,-1.0081471515396476,0.09118421571912755,-1.1868682143491376,-0.8294260887301577,0.976045732178488,5,False,-0.11158177521950918
Moirai-2.0,0.05,GOLD,-0.630220057948177,0.033387084942165406,-0.6956587444348212,-0.5647813714615328,0.9916506528542696,5,False,-1.8389264078917202
Moirai-2.0,0.05,WTI,-0.4774618768036845,0.009583867948580497,-0.4962462579829023,-0.45867749562446675,0.9987927398311182,5,False,-1.839129255681001
Moirai-2.0,0.05,NATGAS,-0.6739180811105654,0.0700990998134294,-0.811312316744887,-0.5365238454762438,0.9685616889742796,5,False,-0.6889647386956517
Moirai-2.0,0.05,CBU0,-0.6530011357881012,0.09925726261133443,-0.8475453705063166,-0.4584569010698857,0.9351794203958003,5,True,-3.148783653356472
Moirai-2.0,0.05,BTC,-0.3220484288984971,0.018679065927995047,-0.3586593981173674,-0.2854374596796268,0.9900085586338084,5,False,-2.735113421872557
Moirai-2.0,0.05,ETH,-0.884135240073077,0.2537323959507645,-1.3814507361365753,-0.3868197440095785,0.8018738705342041,5,True,0.6833888795052916
Moirai-2.0,0.05,EURUSD,-0.7698624157854557,0.03499532451543419,-0.8384532518357066,-0.7012715797352047,0.9938392834489801,5,False,-1.4113243085032092
Moirai-2.0,0.05,GBPUSD,-0.8026620306498908,0.12102829625610839,-1.0398774913118634,-0.5654465699879184,0.9361480462551273,5,False,-1.4244161993003948
Moirai-2.0,0.05,USDJPY,-0.6408049491633173,0.043151059134691264,-0.7253810250673122,-0.5562288732593225,0.9865790167547823,5,False,-2.146778742644061
Moirai-2.0,0.05,AUDUSD,-1.1228283991217096,0.06572523488756547,-1.251649859501338,-0.9940069387420813,0.9898253995134845,5,False,0.36790724851387324
TimesFM-2.5,0.01,SP500,-0.6722234868879988,0.04297444463465588,-0.7564533983719244,-0.5879935754040733,0.9878878268686325,5,False,-0.9945734553609897
TimesFM-2.5,0.01,STOXX,-0.6996330758359794,0.06683453868266966,-0.8306287716540119,-0.568637380017947,0.9733527283797726,5,False,-0.7895636289512558
TimesFM-2.5,0.01,GDAXI,-0.7364958544729451,0.012567768277778373,-0.7611286802973907,-0.7118630286484995,0.999127193945234,5,False,-0.3950654874554722
TimesFM-2.5,0.01,FCHI,-0.9097415926775707,0.12272716401467419,-1.1502868341463321,-0.6691963512088093,0.9482297652477506,5,False,0.5834586673933799
TimesFM-2.5,0.01,FTSE100,-0.5506248041154163,0.04317455411269617,-0.6352469301763007,-0.46600267805453177,0.981889597877231,5,True,-1.595714469757763
TimesFM-2.5,0.01,NIKKEI,-0.6907767583469753,0.015284038830856219,-0.7207334744554534,-0.6608200422384971,0.9985334910382458,5,False,-0.3298821448390452
TimesFM-2.5,0.01,HSI,-0.9914652486296966,0.056887630803623565,-1.1029650050047988,-0.8799654922545944,0.9902201160708309,5,False,1.1809093777744817
