forecaster,alpha,asset,slope,se,ci_lo,ci_hi,r2,n_points,contains_half,intercept
Chronos-Small,0.01,SP500,,,,,,0,,
Chronos-Small,0.01,STOXX,,,,,,0,,
Chronos-Small,0.01,GDAXI,,,,,,0,,
Chronos-Small,0.01,FCHI,,,,,,0,,
Chronos-Small,0.01,FTSE100,,,,,,0,,
Chronos-Small,0.01,NIKKEI,,,,,,0,,
Chronos-Small,0.01,HSI,,,,,,0,,
Chronos-Small,0.01,BOVESPA,,,,,,0,,
Chronos-Small,0.01,NIFTY,,,,,,0,,
Chronos-Small,0.01,ASX200,,,,,,0,,
Chronos-Small,0.01,ICLN,,,,,,0,,
Chronos-Small,0.01,TLT,,,,,,0,,
Chronos-Small,0.01,IBGL,,,,,,0,,
Chronos-Small,0.01,DJCI,,,,,,0,,
Chronos-Small,0.01,GOLD,,,,,,0,,
Chronos-Small,0.01,WTI,,,,,,0,,
Chronos-Small,0.01,NATGAS,,,,,,0,,
Chronos-Small,0.01,CBU0,,,,,,0,,
Chronos-Small,0.01,BTC,,,,,,0,,
Chronos-Small,0.01,ETH,,,,,,0,,
Chronos-Small,0.01,EURUSD,,,,,,0,,
Chronos-Small,0.01,GBPUSD,,,,,,0,,
Chronos-Small,0.01,USDJPY,,,,,,0,,
Chronos-Small,0.01,AUDUSD,,,,,,0,,
Chronos-Small,0.025,SP500,,,,,,0,,
Chronos-Small,0.025,STOXX,,,,,,0,,
Chronos-Small,0.025,GDAXI,,,,,,0,,
Chronos-Small,0.025,FCHI,,,,,,0,,
Chronos-Small,0.025,FTSE100,,,,,,0,,
Chronos-Small,0.025,NIKKEI,,,,,,0,,
Chronos-Small,0.025,HSI,,,,,,0,,
Chronos-Small,0.025,BOVESPA,,,,,,0,,
Chronos-Small,0.025,NIFTY,,,,,,0,,
Chronos-Small,0.025,ASX200,,,,,,0,,
Chronos-Small,0.025,ICLN,,,,,,0,,
Chronos-Small,0.025,TLT,,,,,,0,,
Chronos-Small,0.025,IBGL,,,,,,0,,
Chronos-Small,0.025,DJCI,,,,,,0,,
Chronos-Small,0.025,GOLD,,,,,,0,,
Chronos-Small,0.025,WTI,,,,,,0,,
Chronos-Small,0.025,NATGAS,,,,,,0,,
Chronos-Small,0.025,CBU0,,,,,,0,,
Chronos-Small,0.025,BTC,,,,,,0,,
Chronos-Small,0.025,ETH,,,,,,0,,
Chronos-Small,0.025,EURUSD,,,,,,0,,
Chronos-Small,0.025,GBPUSD,,,,,,0,,
Chronos-Small,0.025,USDJPY,,,,,,0,,
Chronos-Small,0.025,AUDUSD,,,,,,0,,
Chronos-Small,0.05,SP500,,,,,,0,,
Chronos-Small,0.05,STOXX,,,,,,0,,
Chronos-Small,0.05,GDAXI,,,,,,0,,
Chronos-Small,0.05,FCHI,,,,,,0,,
Chronos-Small,0.05,FTSE100,,,,,,0,,
Chronos-Small,0.05,NIKKEI,,,,,,0,,
Chronos-Small,0.05,HSI,,,,,,0,,
Chronos-Small,0.05,BOVESPA,,,,,,0,,
Chronos-Small,0.05,NIFTY,,,,,,0,,
Chronos-Small,0.05,ASX200,,,,,,0,,
Chronos-Small,0.05,ICLN,,,,,,0,,
Chronos-Small,0.05,TLT,,,,,,0,,
Chronos-Small,0.05,IBGL,,,,,,0,,
Chronos-Small,0.05,DJCI,,,,,,0,,
Chronos-Small,0.05,GOLD,,,,,,0,,
Chronos-Small,0.05,WTI,,,,,,0,,
Chronos-Small,0.05,NATGAS,,,,,,0,,
Chronos-Small,0.05,CBU0,,,,,,0,,
Chronos-Small,0.05,BTC,,,,,,0,,
Chronos-Small,0.05,ETH,,,,,,0,,
Chronos-Small,0.05,EURUSD,,,,,,0,,
Chronos-Small,0.05,GBPUSD,,,,,,0,,
Chronos-Small,0.05,USDJPY,,,,,,0,,
Chronos-Small,0.05,AUDUSD,,,,,,0,,
GJR-GARCH-t,0.01,SP500,-0.47514163156555317,0.06236554040644049,-0.5973780907621765,-0.3529051723689298,0.9508550623658599,5,True,-2.255319236104193
GJR-GARCH-t,0.01,STOXX,-0.767230389388062,0.11296286695950762,-0.988637608628697,-0.545823170147427,0.93893708054264,5,False,-0.8266164387540735
GJR-GARCH-t,0.01,GDAXI,-0.8107809553303491,0.1368225302360505,-1.078953114593008,-0.5426087960676902,0.9212906917959439,5,False,-0.27551077419633074
GJR-GARCH-t,0.01,FCHI,-0.6185264304544567,0.08334184002638177,-0.7818764369061649,-0.4551764240027484,0.9483467040794531,5,True,-1.2810136718025031
GJR-GARCH-t,0.01,FTSE100,-0.5252227698902164,0.016545093467958974,-0.557651153087416,-0.49279438669301684,0.9970318786172391,5,True,-2.2820187623902757
GJR-GARCH-t,0.01,NIKKEI,-0.6044653992583158,0.05679140302757668,-0.7157765491923661,-0.4931542493242655,0.9742016217008986,5,True,-1.4374221676730707
GJR-GARCH-t,0.01,HSI,-0.9756202749612938,0.07315760033299526,-1.1190091716139645,-0.832231378308623,0.983411248730388,5,False,1.1382736410801515
GJR-GARCH-t,0.01,BOVESPA,-0.7130636112101283,0.053895910060455604,-0.8186995949286213,-0.6074276274916353,0.9831501448062768,5,False,-0.7020536787431171
GJR-GARCH-t,0.01,NIFTY,-1.1222513444240858,0.1506069643991045,-1.4174409946463307,-0.827061694201841,0.948740032961658,5,False,1.1326930505428807
GJR-GARCH-t,0.01,ASX200,-0.48237350595858297,0.07607041388086797,-0.6314715171650842,-0.33327549475208174,0.930571814605441,5,True,-2.528556025356543
