asset,forecaster,cc_stat,cc_pval,uc_stat,ind_stat,kupiec_p,ratio_R,sigma_tail,n_obs,n_hits,hit_rate
SP500,GJR-GARCH-t,,,28.671310999297532,,6.54840857094996e-08,0.586507876522605,0.0074227226914557,6340,26,0.004100946372239748
SP500,TimesFM-2.5,32.66419556342203,8.073466650770911e-08,28.94750371976602,3.716691843656008,2.4528920561373013e-08,0.6510481182646284,0.0103111405626701,6078,107,0.017604475156301414
SP500,Chronos-Small,12789.354844441743,0.0,12788.733416748382,0.6214276933596921,0.0,1.321304634245279,0.0098585562793938,6078,2250,0.37018756169792694
SP500,Moirai-2.0,50.34032343175363,1.1714851311239727e-11,48.19448639173834,2.1458370400152944,1.105782132526656e-12,0.5414651413387835,0.0106583256329397,6078,122,0.020072392234287594
STOXX,GJR-GARCH-t,,,19.638250027643323,,7.270680004056729e-06,0.5099684171599664,0.007894055790061,5255,24,0.004567078972407232
STOXX,TimesFM-2.5,26.60132989918884,1.6733801260215841e-06,17.428461984851424,9.172867914337417,1.255674731337475e-05,0.725984115958696,0.0115525504777357,4993,82,0.016422992189064692
STOXX,Chronos-Small,11333.059404448233,0.0,11332.47625343892,0.5831510093139514,0.0,0.6572713929462088,0.0093255884853762,4993,1949,0.39034648507911074
STOXX,Moirai-2.0,62.82324200116079,2.275957200481571e-14,59.25724168198951,3.5660003191712804,4.3298697960381105e-15,0.63619104104318,0.0110952233781533,4993,113,0.022631684358101343
GDAXI,GJR-GARCH-t,38.467341035720665,4.435300238192497e-09,35.240460932941176,3.2268801027794893,2.2983622782746242e-09,0.5366066968358891,0.0082685765345147,6404,23,0.0035915053091817614
GDAXI,TimesFM-2.5,38.62493809639898,4.0992202965384195e-09,30.260780252506606,8.364157843892372,1.2218865586000051e-08,0.7752059060397539,0.0110217533070449,6142,109,0.017746662324975578
GDAXI,Chronos-Small,13325.980392984507,0.0,13325.835377336101,0.14501564840702486,0.0,0.976027471112334,0.0103481743915525,6142,2323,0.37821556496255293
GDAXI,Moirai-2.0,52.120672495562644,4.809930231886028e-12,48.300171297771044,3.8205011977916,1.0371703496048212e-12,0.6227918445076707,0.0114434357669726,6142,123,0.020026050146532075
FCHI,GJR-GARCH-t,,,29.962048479882355,,3.36515904031387e-08,0.535573553236243,0.0098363635766546,6448,26,0.004032258064516129
FCHI,TimesFM-2.5,29.63989356456034,3.662510600355162e-07,19.05441757052904,10.585475994031299,4.4876624687439914e-06,0.7721388460122297,0.0119480676662561,6186,99,0.01600387972841901
FCHI,Chronos-Small,13779.01053163298,0.0,13777.953668528597,1.0568631043825008,0.0,0.9750284164630064,0.0101980037578237,6186,2383,0.38522470093760103
FCHI,Moirai-2.0,58.47744113204283,2.0039525594484076e-13,53.12092064224032,5.356520489802506,8.559819519859958e-14,0.6327373450508704,0.0119186214192741,6186,127,0.020530229550598123
FTSE100,GJR-GARCH-t,,,25.570834684197905,,3.185827187612844e-07,0.6660305379326802,0.005753183741188,6370,28,0.004395604395604396
FTSE100,TimesFM-2.5,40.25564653967024,1.8138335278194972e-09,24.09545101215474,16.160195527515498,3.1331957961455714e-07,0.8083238347492773,0.0100813941342972,6108,103,0.016863130320890634
FTSE100,Chronos-Small,13251.342807661124,0.0,13250.915213523425,0.4275941376990886,0.0,2.2358395815520375,0.0086873969820323,6108,2310,0.3781925343811395
FTSE100,Moirai-2.0,49.98221897145902,1.4012013771491638e-11,36.89967440439057,13.082544567068453,3.8427794279982663e-10,0.5819737499176888,0.0097835804495328,6108,114,0.018664047151277015
NIKKEI,GJR-GARCH-t,32.76654955553744,7.670685353566853e-08,24.945953834288332,7.820595721249106,4.449879822399083e-07,0.5029664302885752,0.0106111432692137,6168,27,0.004377431906614786
NIKKEI,TimesFM-2.5,28.605434500553542,6.143400405056454e-07,11.653364531911848,16.952069968641695,0.0002513396680462,0.6937505666487505,0.0161037316182503,5906,87,0.01473078225533356
NIKKEI,Chronos-Small,12923.551455998702,0.0,12922.59988448454,0.9515715141633336,0.0,1.48488201529893,0.0110569362751622,5906,2247,0.3804605485946495
NIKKEI,Moirai-2.0,50.25032498946007,1.2254086634300165e-11,40.58082344826016,9.669501541199907,5.84321480090466e-11,0.6927322873736178,0.0137206761724958,5906,114,0.01930240433457501
HSI,GJR-GARCH-t,,,39.112502865191914,,3.2562985641249043e-10,0.3934251773507807,0.0229318516317796,6206,20,0.003222687721559781
HSI,TimesFM-2.5,24.311225697660802,5.2587728924802235e-06,24.265142552087468,0.04608314557333415,2.929992749534094e-07,0.6533130642599086,0.0137427692818998,5944,101,0.01699192462987887
HSI,Chronos-Small,12690.880330155664,0.0,12690.873229070581,0.007101085082467762,0.0,1.0810055685029791,0.0105707812741595,5944,2223,0.3739905787348587
HSI,Moirai-2.0,31.748543071125255,1.2761198608934876e-07,29.885368022670832,1.8631750484544227,1.5290489208119595e-08,0.6185729405591577,0.0136564678324062,5944,106,0.017833109017496636
BOVESPA,GJR-GARCH-t,,,41.945396038269166,,7.720690753387771e-11,0.4771687503366572,0.0121587425312984,6242,19,0.003043896187119513
BOVESPA,TimesFM-2.5,12.574914581214216,0.0018594820633347497,8.111636016058469,4.463278565155747,0.0017642110401534,0.7076221188615743,0.0159514700637518,5980,83,0.013879598662207358
BOVESPA,Chronos-Small,13282.394534325638,0.0,13280.813630265837,1.5809040598005595,0.0,0.8481850623501996,0.0123591752623092,5980,2299,0.38444816053511705
BOVESPA,Moirai-2.0,11.43759212866189,0.0032836618411439256,9.487170409415512,1.9504217192463784,0.000819858873975,0.6727592641379294,0.0162597964334772,5980,85,0.014214046822742474
NIFTY,GJR-GARCH-t,,,34.06758996765927,,4.751331883490195e-09,0.3923166014325817,0.0111554549763681,4288,11,0.0025652985074626866
NIFTY,TimesFM-2.5,6.368258545071342,0.04141429066636482,4.8918027068886545,1.4764558381826873,0.0143274671448353,0.4892468801529142,0.0141454732927674,4026,55,0.01366120218579235
NIFTY,Chronos-Small,9146.45452538495,0.0,9141.562127902518,4.8923974824319885,0.0,1.0801423885504693,0.008022606235421,4026,1572,0.39046199701937406
