DGP,n,k,mean_C,cv_C,mean_B,sd_B,cv_B,pct5_B,pct95_B
Student-$t_5$,250,6.25,0.920822397053394,0.7634885113286961,0.3683289588213576,0.2812149284497669,0.7634885113286961,0.09032024555477755,0.8540275736188385
GARCH-$t_5$,250,6.25,0.003280570492391005,0.7764976392784917,0.001312228196956402,0.0010189420971313179,0.7764976392784917,0.00022504924559428547,0.003189928250222149
Student-$t_5$,500,12.5,1.0018443633112537,0.5590692969312727,0.28336437719636265,0.15842032313453844,0.5590692969312727,0.11468378999595367,0.5642886451210022
GARCH-$t_5$,500,12.5,0.003742488051135869,0.6352279077528253,0.00105853547178712,0.0006724112730254819,0.6352279077528251,0.0003348400409843245,0.0022592113705241527
Student-$t_5$,750,18.75,1.0403462836123207,0.48845379760268964,0.24025768275760004,0.11735477754617199,0.48845379760268964,0.1149779887157797,0.4429508855298562
GARCH-$t_5$,750,18.75,0.0040098739000566964,0.5672569271973741,0.0009260407102456753,0.0005253030077536355,0.567256927197374,0.0003633131687421979,0.0018553691969898404
Student-$t_5$,1000,25.0,1.058077417895014,0.4325582316805317,0.21161548357900284,0.09153601937315405,0.43255823168053165,0.110626781813333,0.3724315485339588
GARCH-$t_5$,1000,25.0,0.004171904314888971,0.5208823568285061,0.0008343808629777943,0.00043461427040047637,0.5208823568285061,0.0003701535673742912,0.001615772550358844
