asset,n,n_windows,n_possible,raw_sd,bound,sigma_tail,dropped,drop_reason
STOXX,250,21,21,0.004995926805273102,0.004992639254606595,0.007894055790061073,False,
STOXX,500,10,10,0.003921569490199303,0.0035303290729504734,0.007894055790061073,False,
STOXX,750,7,7,0.003903319003182682,0.0028825016176138103,0.007894055790061073,False,
STOXX,1000,5,5,0.0018801190751824115,0.0024963196273032973,0.007894055790061073,False,
FTSE100,250,25,25,0.005798830622219869,0.0036386328839205953,0.005753183741188071,False,
FTSE100,500,12,12,0.004430106324703017,0.0025729019864686167,0.005753183741188071,False,
FTSE100,750,8,8,0.002973938491749736,0.00210076567501378,0.005753183741188071,False,
FTSE100,1000,6,6,0.002838442085254821,0.0018193164419602976,0.005753183741188071,False,
NIKKEI,250,24,24,0.008915978735997102,0.006711076261816127,0.010611143269213728,False,
NIKKEI,500,12,12,0.007690597163664401,0.004745447533790249,0.010611143269213728,False,
NIKKEI,750,8,8,0.005405594738901319,0.003874641686311648,0.010611143269213728,False,
NIKKEI,1000,6,6,0.006274644895467136,0.0033555381309080634,0.010611143269213728,False,
GDAXI,250,25,25,0.007691380256732511,0.0052295069712977,0.00826857653451476,False,
GDAXI,500,12,12,0.006474596273544608,0.0036978198416669278,0.00826857653451476,False,
GDAXI,750,8,8,0.006355466150127493,0.003019257257607752,0.00826857653451476,False,
GDAXI,1000,6,6,0.005603141667441466,0.00261475348564885,0.00826857653451476,False,
FCHI,250,25,25,0.008873803286440994,0.006221062559149761,0.009836363576654608,False,
FCHI,500,12,12,0.007251047980752891,0.004398955521760534,0.009836363576654608,False,
FCHI,750,8,8,0.004253600406004552,0.0035917321431706167,0.009836363576654608,False,
FCHI,1000,6,6,0.00372229661494127,0.0031105312795748803,0.009836363576654608,False,
HSI,250,24,24,0.014405141586435459,0.014503376424294535,0.02293185163177968,False,
HSI,500,12,12,0.009176919484910688,0.010255435819719768,0.02293185163177968,False,
HSI,750,8,8,0.006792853078547525,0.008373528282724921,0.02293185163177968,False,
HSI,1000,6,6,0.005147748992127653,0.007251688212147268,0.02293185163177968,False,
BOVESPA,250,24,24,0.00879384361886493,0.0076898639764928335,0.012158742531298434,False,
BOVESPA,500,12,12,0.007896574181099665,0.005437554964180232,0.012158742531298434,False,
BOVESPA,750,8,8,0.006940653941563176,0.004439745036859744,0.012158742531298434,False,
BOVESPA,1000,6,6,0.005026690740346516,0.0038449319882464168,0.012158742531298434,False,
SP500,250,25,25,0.007349567359950611,0.004694542028963106,0.007422722691455784,False,
SP500,500,12,12,0.006444597580438033,0.003319542503245066,0.007422722691455784,False,
