asset,forecaster,alpha,n,n_windows,raw_sd,sigma_tail,dropped,drop_reason
SP500,Chronos-Small,0.025,250,47,,0.009840381856312056,True,fail rate 83.1% > 5%
SP500,Chronos-Small,0.025,500,20,,0.009840381856312056,True,fail rate 92.5% > 5%
SP500,Chronos-Small,0.025,750,8,,0.009840381856312056,True,<10 valid windows (8)
SP500,Chronos-Small,0.025,1000,0,,0.009840381856312056,True,<10 valid windows (0)
SP500,Chronos-Small,0.025,1500,0,,0.009840381856312056,True,<10 valid windows (0)
SP500,Chronos-Small,0.01,250,47,,0.009858556279393858,True,fail rate 83.1% > 5%
SP500,Chronos-Small,0.01,500,20,,0.009858556279393858,True,fail rate 92.5% > 5%
SP500,Chronos-Small,0.01,750,8,,0.009858556279393858,True,<10 valid windows (8)
SP500,Chronos-Small,0.01,1000,0,,0.009858556279393858,True,<10 valid windows (0)
SP500,Chronos-Small,0.01,1500,0,,0.009858556279393858,True,<10 valid windows (0)
SP500,Chronos-Small,0.05,250,47,,0.009819642799932787,True,fail rate 83.1% > 5%
SP500,Chronos-Small,0.05,500,20,,0.009819642799932787,True,fail rate 92.5% > 5%
SP500,Chronos-Small,0.05,750,8,,0.009819642799932787,True,<10 valid windows (8)
SP500,Chronos-Small,0.05,1000,0,,0.009819642799932787,True,<10 valid windows (0)
SP500,Chronos-Small,0.05,1500,0,,0.009819642799932787,True,<10 valid windows (0)
SP500,TimesFM-2.5,0.05,250,278,0.0045119551190939185,0.009163899952943024,False,
SP500,TimesFM-2.5,0.05,500,266,0.0027338122558833965,0.009163899952943024,False,
SP500,TimesFM-2.5,0.05,750,254,0.002237201172680205,0.009163899952943024,False,
SP500,TimesFM-2.5,0.05,1000,242,0.001853804959279975,0.009163899952943024,False,
SP500,TimesFM-2.5,0.05,1500,218,0.0012318268318462042,0.009163899952943024,False,
SP500,TimesFM-2.5,0.025,250,278,0.006624359717677208,0.00959038860532081,False,
SP500,TimesFM-2.5,0.025,500,266,0.0036496429124944552,0.00959038860532081,False,
SP500,TimesFM-2.5,0.025,750,254,0.0031034255774132027,0.00959038860532081,False,
SP500,TimesFM-2.5,0.025,1000,242,0.0025151724255084947,0.00959038860532081,False,
SP500,TimesFM-2.5,0.025,1500,218,0.0016661133036227364,0.00959038860532081,False,
SP500,TimesFM-2.5,0.01,250,278,0.00917746107858292,0.010311140562670197,False,
SP500,TimesFM-2.5,0.01,500,266,0.005301452672843994,0.010311140562670197,False,
SP500,TimesFM-2.5,0.01,750,254,0.004479291399782653,0.010311140562670197,False,
SP500,TimesFM-2.5,0.01,1000,242,0.0037553634351901338,0.010311140562670197,False,
SP500,TimesFM-2.5,0.01,1500,218,0.002610192409362851,0.010311140562670197,False,
SP500,GJR-GARCH-t,0.05,250,290,0.0026433714047418943,0.0065928042662285425,False,
SP500,GJR-GARCH-t,0.05,500,279,0.0018489683616058582,0.0065928042662285425,False,
SP500,GJR-GARCH-t,0.05,750,267,0.001513462444607561,0.0065928042662285425,False,
SP500,GJR-GARCH-t,0.05,1000,255,0.001260756956573055,0.0065928042662285425,False,
SP500,GJR-GARCH-t,0.05,1500,231,0.0006975577902463092,0.0065928042662285425,False,
SP500,GJR-GARCH-t,0.025,250,290,0.004260515456579107,0.006981190146854312,False,
SP500,GJR-GARCH-t,0.025,500,279,0.0032178789754700016,0.006981190146854312,False,
SP500,GJR-GARCH-t,0.025,750,267,0.0026999180095585796,0.006981190146854312,False,
SP500,GJR-GARCH-t,0.025,1000,255,0.0023070635300489906,0.006981190146854312,False,
SP500,GJR-GARCH-t,0.025,1500,231,0.0015667121269277422,0.006981190146854312,False,
SP500,Moirai-2.0,0.025,250,278,0.007318019965258947,0.010029238173261902,False,
SP500,Moirai-2.0,0.025,500,266,0.005229233643977544,0.010029238173261902,False,
SP500,Moirai-2.0,0.025,750,254,0.004322695771720896,0.010029238173261902,False,
SP500,Moirai-2.0,0.025,1000,242,0.003456161388919922,0.010029238173261902,False,
SP500,Moirai-2.0,0.025,1500,218,0.002287882288614546,0.010029238173261902,False,
SP500,Moirai-2.0,0.01,250,278,0.010506505992348885,0.01065832563293978,False,
SP500,Moirai-2.0,0.01,500,266,0.007668290461812207,0.01065832563293978,False,
SP500,Moirai-2.0,0.01,750,254,0.006479073049223951,0.01065832563293978,False,
SP500,Moirai-2.0,0.01,1000,242,0.0053792635698789275,0.01065832563293978,False,
SP500,Moirai-2.0,0.01,1500,218,0.004150241877720768,0.01065832563293978,False,
SP500,GJR-GARCH-t,0.01,250,290,0.007191092649120115,0.007422722691455784,False,
SP500,GJR-GARCH-t,0.01,500,279,0.00560357619183996,0.007422722691455784,False,
SP500,GJR-GARCH-t,0.01,750,267,0.004866336656847171,0.007422722691455784,False,
SP500,GJR-GARCH-t,0.01,1000,255,0.004157621258542908,0.007422722691455784,False,
SP500,GJR-GARCH-t,0.01,1500,231,0.002944392800042935,0.007422722691455784,False,
STOXX,Chronos-Small,0.01,250,46,,0.009325588485376294,True,fail rate 79.6% > 5%
STOXX,Chronos-Small,0.01,500,15,,0.009325588485376294,True,fail rate 93.0% > 5%
STOXX,Chronos-Small,0.01,750,3,,0.009325588485376294,True,<10 valid windows (3)
STOXX,Chronos-Small,0.01,1000,0,,0.009325588485376294,True,<10 valid windows (0)
STOXX,Chronos-Small,0.01,1500,0,,0.009325588485376294,True,<10 valid windows (0)
STOXX,Chronos-Small,0.025,250,43,,0.00932430973775696,True,fail rate 81.0% > 5%
