asset,forecaster,alpha,ma_window,detrended_sd,bound,ratio
ASX200,Chronos-Small,0.01,MA-126,0.005615793702118968,0.0049148059083864,1.1426277673623761
ASX200,Chronos-Small,0.01,MA-252,0.007930098374920237,0.0049148059083864,1.6135120130356886
ASX200,Chronos-Small,0.01,MA-504,0.012811173549526387,0.0049148059083864,2.6066489274105384
ASX200,Chronos-Small,0.025,MA-126,0.004282505968719351,0.0031159487447633,1.3743826742710645
ASX200,Chronos-Small,0.025,MA-252,0.006039999215233132,0.0031159487447633,1.938414174939182
ASX200,Chronos-Small,0.025,MA-504,0.009646601966259029,0.0031159487447633,3.0958795398901287
ASX200,Chronos-Small,0.05,MA-126,0.003427556350048889,0.0022056829218833,1.55396603747664
ASX200,Chronos-Small,0.05,MA-252,0.0052649883230778,0.0022056829218833,2.3870105130896793
ASX200,Chronos-Small,0.05,MA-504,0.00852062155596935,0.0022056829218833,3.8630310238309784
ASX200,GJR-GARCH-t,0.01,MA-126,0.001211972697458372,0.0035159012075486,0.3447118180841602
ASX200,GJR-GARCH-t,0.01,MA-252,0.0016888088257947008,0.0035159012075486,0.4803345504045584
ASX200,GJR-GARCH-t,0.01,MA-504,0.0023578986204945765,0.0035159012075486,0.6706384739799273
ASX200,GJR-GARCH-t,0.025,MA-126,0.0008464561591413462,0.0024044192058188,0.35204183908233855
ASX200,GJR-GARCH-t,0.025,MA-252,0.001196867082971773,0.0024044192058188,0.4977780413978154
ASX200,GJR-GARCH-t,0.025,MA-504,0.0016894485022209476,0.0024044192058188,0.7026430741080457
ASX200,GJR-GARCH-t,0.05,MA-126,0.0006340754351287934,0.0016724679163709,0.3791256196439799
ASX200,GJR-GARCH-t,0.05,MA-252,0.0008983802220474642,0.0016724679163709,0.5371584191563243
ASX200,GJR-GARCH-t,0.05,MA-504,0.0013418338430637305,0.0016724679163709,0.8023076735459209
ASX200,Moirai-2.0,0.01,MA-126,0.0026159733915139907,0.0058328622489737,0.44848880015540826
ASX200,Moirai-2.0,0.01,MA-252,0.003809952706681904,0.0058328622489737,0.6531874993880185
ASX200,Moirai-2.0,0.01,MA-504,0.005965945793727719,0.0058328622489737,1.0228161645301046
ASX200,Moirai-2.0,0.025,MA-126,0.0016172531768520824,0.0035108670004136,0.46064210824891993
ASX200,Moirai-2.0,0.025,MA-252,0.002378433403365079,0.0035108670004136,0.6774490184575166
ASX200,Moirai-2.0,0.025,MA-504,0.0036845663353544927,0.0035108670004136,1.0494747693149384
ASX200,Moirai-2.0,0.05,MA-126,0.0011299695295375882,0.0023528599683529,0.4802536252629662
ASX200,Moirai-2.0,0.05,MA-252,0.0017278883550653718,0.0023528599683529,0.7343778968176187
ASX200,Moirai-2.0,0.05,MA-504,0.0027697071201356663,0.0023528599683529,1.1771661541228808
ASX200,TimesFM-2.5,0.01,MA-126,0.0028864847181331844,0.0055520206852922,0.5198980482511063
ASX200,TimesFM-2.5,0.01,MA-252,0.004252386102066542,0.0055520206852922,0.7659168333669025
ASX200,TimesFM-2.5,0.01,MA-504,0.006021102246954551,0.0055520206852922,1.084488439120011
ASX200,TimesFM-2.5,0.025,MA-126,0.001823811473443181,0.0033836964508791,0.5389997300051387
ASX200,TimesFM-2.5,0.025,MA-252,0.0026658375337187917,0.0033836964508791,0.7878477199177234
ASX200,TimesFM-2.5,0.025,MA-504,0.003817865394167103,0.0033836964508791,1.1283120249085004
