asset,forecaster,n,n_windows,n_possible,raw_sd,bound,sigma_tail,dropped,drop_reason
SP500,Chronos-Small,250,6,24,0.013139408634773352,0.006235098456767978,0.009858556279393858,False,
SP500,Chronos-Small,500,1,12,,,0.009858556279393858,True,<5 valid windows after FZ filter (1/12)
SP500,Chronos-Small,750,0,8,,,0.009858556279393858,True,<5 valid windows after FZ filter (0/8)
SP500,Chronos-Small,1000,0,6,,,0.009858556279393858,True,<5 valid windows after FZ filter (0/6)
STOXX,Chronos-Small,250,4,19,,,0.009325588485376294,True,<5 valid windows after FZ filter (4/19)
STOXX,Chronos-Small,500,1,9,,,0.009325588485376294,True,<5 valid windows after FZ filter (1/9)
STOXX,Chronos-Small,750,0,6,,,0.009325588485376294,True,<5 valid windows after FZ filter (0/6)
STOXX,Chronos-Small,1000,0,4,,,0.009325588485376294,True,"<5 non-overlapping windows (4 possible, T=4993)"
STOXX,TimesFM-2.5,250,19,19,0.009174891015193148,0.007306474458742281,0.011552550477735783,False,
STOXX,TimesFM-2.5,500,9,9,0.005580022405098884,0.005166457636342976,0.011552550477735783,False,
STOXX,TimesFM-2.5,750,6,6,0.005124963380000898,0.004218394995581981,0.011552550477735783,False,
STOXX,TimesFM-2.5,1000,0,4,,,0.011552550477735783,True,"<5 non-overlapping windows (4 possible, T=4993)"
STOXX,Moirai-2.0,250,19,19,0.009827332169078972,0.0070172354046624235,0.0110952233781533,False,
STOXX,Moirai-2.0,500,9,9,0.006464667386302126,0.004961934739819126,0.0110952233781533,False,
STOXX,Moirai-2.0,750,6,6,0.005657070740929944,0.004051402749848823,0.0110952233781533,False,
STOXX,Moirai-2.0,1000,0,4,,,0.0110952233781533,True,"<5 non-overlapping windows (4 possible, T=4993)"
STOXX,GJR-GARCH-t,250,21,21,0.004995926805273102,0.004992639254606595,0.007894055790061073,False,
STOXX,GJR-GARCH-t,500,10,10,0.003921569490199303,0.0035303290729504734,0.007894055790061073,False,
STOXX,GJR-GARCH-t,750,7,7,0.003903319003182682,0.0028825016176138103,0.007894055790061073,False,
STOXX,GJR-GARCH-t,1000,5,5,0.0018801190751824115,0.0024963196273032973,0.007894055790061073,False,
GDAXI,Chronos-Small,250,9,24,0.01072683654124692,0.006544760140386628,0.01034817439155255,False,
GDAXI,Chronos-Small,500,1,12,,,0.01034817439155255,True,<5 valid windows after FZ filter (1/12)
GDAXI,Chronos-Small,750,1,8,,,0.01034817439155255,True,<5 valid windows after FZ filter (1/8)
GDAXI,Chronos-Small,1000,0,6,,,0.01034817439155255,True,<5 valid windows after FZ filter (0/6)
SP500,Moirai-2.0,250,24,24,0.011192881696799844,0.006740917008769093,0.01065832563293978,False,
