asset,forecaster,slope,intercept,se,ci_lo,ci_hi,r2,n_points,contains_half,drop_reason
ASX200,Chronos-Small,,,,,,,1,,<3 valid n values (1)
AUDUSD,Chronos-Small,,,,,,,2,,<3 valid n values (2)
BOVESPA,Chronos-Small,,,,,,,1,,<3 valid n values (1)
BTC,Chronos-Small,,,,,,,1,,<3 valid n values (1)
CBU0,Chronos-Small,,,,,,,1,,<3 valid n values (1)
DJCI,Chronos-Small,,,,,,,1,,<3 valid n values (1)
ETH,Chronos-Small,,,,,,,1,,<3 valid n values (1)
EURUSD,Chronos-Small,,,,,,,2,,<3 valid n values (2)
FCHI,Chronos-Small,,,,,,,1,,<3 valid n values (1)
FTSE100,Chronos-Small,,,,,,,1,,<3 valid n values (1)
GBPUSD,Chronos-Small,-0.4066998113027962,-2.4747285368164715,0.03614435166914394,-0.47754274057431834,-0.33585688203127406,0.9844490763937316,3,False,
GDAXI,Chronos-Small,,,,,,,1,,<3 valid n values (1)
GOLD,Chronos-Small,,,,,,,1,,<3 valid n values (1)
HSI,Chronos-Small,,,,,,,1,,<3 valid n values (1)
IBGL,Chronos-Small,,,,,,,1,,<3 valid n values (1)
ICLN,Chronos-Small,,,,,,,1,,<3 valid n values (1)
NATGAS,Chronos-Small,-0.35697947552911896,-1.362797710647433,0.3569285890839763,-1.0565595101337124,0.34260055907547454,0.23459163234659597,4,True,
NIFTY,Chronos-Small,,,,,,,0,,<3 valid n values (0)
NIKKEI,Chronos-Small,,,,,,,2,,<3 valid n values (2)
SP500,Chronos-Small,,,,,,,1,,<3 valid n values (1)
STOXX,Chronos-Small,,,,,,,0,,<3 valid n values (0)
TLT,Chronos-Small,,,,,,,2,,<3 valid n values (2)
USDJPY,Chronos-Small,,,,,,,1,,<3 valid n values (1)
WTI,Chronos-Small,,,,,,,1,,<3 valid n values (1)
ASX200,GJR-GARCH-t,-0.46375274919719917,-2.6834174769890278,0.04290312406663106,-0.547842872367796,-0.3796626260266023,0.9543443267310425,4,True,
AUDUSD,GJR-GARCH-t,-0.7653889289710278,-1.0591415217089484,0.08063627257136881,-0.9234360232109107,-0.607341834731145,0.9782834301266626,3,False,
BOVESPA,GJR-GARCH-t,-0.361586327751407,-2.6758256067876713,0.11920421215196028,-0.5952265835692492,-0.12794607193356483,0.804120852330578,4,True,
BTC,GJR-GARCH-t,-0.35604242135411257,-1.1699327292463502,0.041904010614417384,-0.4381742821583706,-0.2739105605498545,0.9730431111241258,3,False,
CBU0,GJR-GARCH-t,,,,,,,2,,<3 valid n values (2)
DJCI,GJR-GARCH-t,,,,,,,2,,<3 valid n values (2)
ETH,GJR-GARCH-t,,,,,,,2,,<3 valid n values (2)
EURUSD,GJR-GARCH-t,-0.6358111357653984,-1.38207896741363,0.15969554721460905,-0.9488144083060321,-0.3228078632247647,0.8235025523784233,4,True,
FCHI,GJR-GARCH-t,-0.6615530723360271,-0.997813996395255,0.08915730416675893,-0.8363013885028746,-0.4868047561691796,0.9111175649256942,4,True,
FTSE100,GJR-GARCH-t,-0.5520580966133776,-2.076164894223962,0.04915420929813564,-0.6484003468377234,-0.45571584638903173,0.952286867311866,4,True,
GBPUSD,GJR-GARCH-t,-0.6175068287205164,-1.6039314663895183,0.11587102602320797,-0.844614039726004,-0.39039961771502885,0.9057329948304362,4,True,
GDAXI,GJR-GARCH-t,-0.2103111260408148,-3.7092782923271437,0.024680077467121943,-0.2586840778763738,-0.1619381742052558,0.9425338686993939,4,False,
GOLD,GJR-GARCH-t,-0.6420658222459308,-1.5431476451904569,0.19195972839709563,-1.0183068899042382,-0.26582475458762334,0.7406317836464544,4,True,
HSI,GJR-GARCH-t,-0.7303470348944194,-0.1852252840228994,0.0398021227812903,-0.8083591955457484,-0.6523348742430904,0.9932973515372113,4,False,
IBGL,GJR-GARCH-t,-0.5591503922347807,-2.0932710960181447,0.11155052666138743,-0.7777894244911001,-0.3405113599784613,0.9262685308618301,3,True,
ICLN,GJR-GARCH-t,-0.44913314987399255,-1.8825469341247656,0.1274586414565231,-0.6989520871287779,-0.19931421261920726,0.8612735000906669,3,True,
NATGAS,GJR-GARCH-t,-0.5427630628118894,-0.8472617784311924,0.08924025487539836,-0.7176739623676701,-0.3678521632561086,0.9400234520589935,4,True,
NIFTY,GJR-GARCH-t,-0.7783949144640027,-0.6891061686858597,0.0735617308985991,-0.9225759070252569,-0.6342139219027484,0.9824513009090675,3,False,
NIKKEI,GJR-GARCH-t,-0.31829413590933414,-2.959468963045602,0.09118764621434071,-0.49702192248944194,-0.13956634932922635,0.7528184365295616,4,False,
SP500,GJR-GARCH-t,-0.27490990148399125,-3.3659766878145723,0.06747445486148572,-0.40715983301250325,-0.14265996995547925,0.8787562735798362,4,False,
STOXX,GJR-GARCH-t,-0.5800058130943593,-2.002384119444393,0.2570074766459151,-1.0837404673203528,-0.07627115886836566,0.6789794582823159,4,True,
TLT,GJR-GARCH-t,-0.5254059073662605,-2.5625505334023377,0.1308310615046465,-0.7818347879153675,-0.26897702681715335,0.711541359903977,4,True,
USDJPY,GJR-GARCH-t,-0.5599075990388126,-2.3561520356345826,0.13666840284954027,-0.8277776686239116,-0.2920375294537137,0.8752763707707925,4,True,
WTI,GJR-GARCH-t,-0.5134591395444197,-1.2886417293771921,0.04083941802748733,-0.5935043988782949,-0.4334138802105445,0.9601375391489347,4,True,
ASX200,Moirai-2.0,-0.5867520685467097,-1.284559876315742,0.04990394345697282,-0.6845637977223764,-0.488940339371043,0.9785543272217402,4,True,
AUDUSD,Moirai-2.0,-0.6099936773084396,-1.4332187132856133,0.06244263775004216,-0.7323812472985222,-0.4876061073183569,0.9794725927708352,3,True,
