asset,forecaster,alpha,n_windows,r_hat_mean,raw_sd,detrended_sd,sigma_tail,bound,med_bound_w,ratio_raw,ratio_detrended,ratio_detrended_w,kupiec_p,n_alpha
IBGL,GJR-GARCH-t,0.01,196,0.0083650237698412,0.0056420341917055,0.0028621605733881,0.0176397144993088,0.0111563350185825,0.005613630649621,0.5057247010158709,0.2565502531629604,0.5098590826564909,8.952283567786878e-06,2.5
GBPUSD,GJR-GARCH-t,0.01,253,0.004845828837545,0.0057463927748002,0.0022668512751683,0.0121917201094891,0.0077107208282526,0.0052440730904255,0.7452471568864264,0.2939869469612286,0.4322691991664079,8.20288017511217e-08,2.5
AUDUSD,GJR-GARCH-t,0.01,222,0.0068745338882658,0.0045117521173544,0.0019834196437806,0.0094295019961369,0.0059637407017793,0.0073140476431152,0.7565305641152896,0.3325797922751567,0.2711794809878879,8.546440299905812e-08,2.5
NIFTY,GJR-GARCH-t,0.01,193,0.0100237063855313,0.0055212186449821,0.0027679227785013,0.0111554549763681,0.0070553292121566,,0.7825600307167567,0.3923166014325817,,4.751331883490195e-09,2.5
WTI,GJR-GARCH-t,0.01,282,0.0168917079878102,0.0143250179495808,0.0075347777964949,0.0303578583559143,0.0191999954578927,0.014354047637995,0.7460948613762356,0.3924364364053799,0.5249235606931125,4.9393603883673975e-06,2.5
HSI,GJR-GARCH-t,0.01,284,0.0108371404977977,0.0132792739355536,0.0057059934419132,0.0229318516317796,0.0145033764242945,0.0042171267390093,0.9155987921067552,0.3934251773507807,1.3530523968206716,3.2562985641249043e-10,2.5
BTC,GJR-GARCH-t,0.01,177,0.0103257155437578,0.0428564760601262,0.019213259371747,0.0720407429512691,0.0455625664113462,0.0161234312135577,0.940607157051054,0.4216895773228987,1.1916358942004357,0.0032621144172961,2.5
GOLD,GJR-GARCH-t,0.01,282,0.0089633313024899,0.0057491971011353,0.0029159523836807,0.0103841544051874,0.0065675158990526,0.0024872025131027,0.8753990381606315,0.4439962427957601,1.1723823726935425,1.064204125578172e-05,2.5
EURUSD,GJR-GARCH-t,0.01,252,0.0046407313459178,0.0060530017956124,0.0028463441434573,0.0098210796855989,0.0062113961777006,0.0008948990730227,0.974499391512512,0.4582454672068617,3.1806314580737856,3.1812019685162335e-10,2.5
BOVESPA,GJR-GARCH-t,0.01,286,0.015675458128032,0.0090722137270776,0.0036693627839219,0.0121587425312984,0.0076898639764928,0.0075232442201595,1.1797625751002223,0.4771687503366572,0.4877367630960901,7.720690753387771e-11,2.5
ASX200,GJR-GARCH-t,0.01,292,0.0083149903653673,0.0051095604174224,0.0016888088257947,0.005559127921995,0.0035159012075486,0.0030147360215013,1.4532718969612282,0.4803345504045553,0.5601846442772971,7.938603996393567e-09,2.5
NIKKEI,GJR-GARCH-t,0.01,282,0.0123899161849849,0.0079345569073815,0.0033754460708,0.0106111432692137,0.0067110762618161,0.0116237924485246,1.182307665392904,0.5029664302885752,0.290391116819062,4.449879822399083e-07,2.5
STOXX,GJR-GARCH-t,0.01,239,0.0062503319188932,0.0057067687960393,0.0025460883381224,0.007894055790061,0.0049926392546065,0.0017031320165455,1.1430364793077743,0.5099684171599664,1.4949447919408416,7.270680004056729e-06,2.5
TLT,GJR-GARCH-t,0.01,260,0.0111677063019857,0.0045694001697634,0.0019758249131028,0.005919300280474,0.0037436942081542,,1.2205591364301671,0.5277741191572718,,2.220446049250313e-16,2.5
FCHI,GJR-GARCH-t,0.01,296,0.0081484678007211,0.008328381651171,0.0033318365797087,0.0098363635766546,0.0062210625591497,0.0014675305262121,1.338739415009084,0.535573553236243,2.270369522267247,3.36515904031387e-08,2.5
